Time,Open,High,Low,Close,Volume
2000-06-02T05:00:00+0000,28.5,28.98,28.45,28.74,0
2000-06-05T05:00:00+0000,28.95,28.95,28.2,28.25,0
2000-06-06T05:00:00+0000,28.3,28.74,28.2,28.3,0
2000-06-07T05:00:00+0000,28.35,28.7,27.75,28.66,0
2000-06-08T05:00:00+0000,28.0,28.89,28.0,28.39,0
2000-06-09T05:00:00+0000,28.25,28.62,28.15,28.46,0
2000-06-12T05:00:00+0000,28.73,29.6,28.73,29.53,0
2000-06-13T05:00:00+0000,29.5,30.4,29.45,30.16,0
2000-06-14T05:00:00+0000,29.96,30.4,29.92,30.09,0
2000-06-15T05:00:00+0000,30.05,30.28,29.5,29.87,0
2000-06-16T05:00:00+0000,29.95,29.95,28.15,29.02,0
2000-06-19T05:00:00+0000,28.51,28.8,28.15,28.67,0
2000-06-20T05:00:00+0000,28.5,29.7,28.5,29.49,0
2000-06-21T05:00:00+0000,29.5,30.35,29.35,29.9,0
2000-06-22T05:00:00+0000,29.71,30.75,29.7,30.67,0
2000-06-23T05:00:00+0000,30.7,31.2,30.5,30.85,0
2000-06-26T05:00:00+0000,30.5,31.25,30.38,30.41,0
2000-06-27T05:00:00+0000,30.35,31.25,30.0,30.88,0
2000-06-28T05:00:00+0000,30.8,31.1,30.57,30.65,0
2000-06-29T05:00:00+0000,30.55,31.48,30.54,31.25,0
2000-06-30T05:00:00+0000,31.25,31.55,31.0,31.13,0
2000-07-05T05:00:00+0000,30.01,30.01,29.1,29.6,0
2000-07-06T05:00:00+0000,30.35,30.35,28.9,29.04,0
2000-07-07T05:00:00+0000,29.15,29.39,28.6,29.18,0
2000-07-10T05:00:00+0000,28.9,29.18,28.68,28.83,0
2000-07-11T05:00:00+0000,28.85,29.1,28.46,29.06,0
2000-07-12T05:00:00+0000,29.06,29.75,28.65,29.64,0
2000-07-13T05:00:00+0000,29.65,30.5,29.38,30.41,0
2000-07-14T05:00:00+0000,30.41,30.55,30.13,30.43,0
2000-07-17T05:00:00+0000,30.23,30.23,29.68,29.76,0
2000-07-18T05:00:00+0000,29.7,31.02,29.58,30.64,0
2000-07-19T05:00:00+0000,30.58,30.7,29.95,30.35,0
2000-07-20T05:00:00+0000,30.28,30.5,29.65,29.77,0
2000-07-21T05:00:00+0000,29.66,29.72,28.51,28.56,0
2000-07-24T05:00:00+0000,28.51,28.69,27.96,28.02,0
2000-07-25T05:00:00+0000,28.01,28.4,27.87,27.95,0
2000-07-26T05:00:00+0000,27.96,28.5,27.74,27.81,0
2000-07-27T05:00:00+0000,27.93,28.3,27.77,28.02,0
2000-07-28T05:00:00+0000,28.12,28.59,28.01,28.18,0
2000-07-31T05:00:00+0000,28.17,28.33,27.35,27.43,0
2000-08-01T05:00:00+0000,27.36,28.03,27.26,27.79,0
2000-08-02T05:00:00+0000,27.79,28.6,27.75,28.26,0
2000-08-03T05:00:00+0000,28.24,28.9,28.15,28.66,0
2000-08-04T05:00:00+0000,28.75,30.0,28.7,29.96,0
2000-08-07T05:00:00+0000,29.91,30.16,28.82,28.91,0
2000-08-08T05:00:00+0000,29.15,29.96,28.8,29.12,0
2000-08-09T05:00:00+0000,30.35,30.48,29.7,30.35,0
2000-08-10T05:00:00+0000,30.35,31.52,30.09,31.34,0
2000-08-11T05:00:00+0000,31.23,31.85,30.9,31.02,0
2000-08-14T05:00:00+0000,31.03,32.0,30.64,31.94,0
2000-08-15T05:00:00+0000,31.9,32.7,31.55,31.67,0
2000-08-16T05:00:00+0000,31.69,31.95,31.1,31.8,0
2000-08-17T05:00:00+0000,31.76,32.75,31.76,31.94,0
2000-08-18T05:00:00+0000,31.94,32.43,31.65,31.99,0
2000-08-21T05:00:00+0000,31.91,33.0,31.82,32.47,0
2000-08-22T05:00:00+0000,32.42,32.88,31.1,31.22,0
