Time,Open,High,Low,Close,Volume
2011-04-04T05:00:00+0000,109.32,109.75,108.63,109.53,31543
2011-04-05T05:00:00+0000,109.38,109.73,108.65,109.56,40843
2011-04-06T05:00:00+0000,108.98,110.31,108.98,110.05,54678
2011-04-07T05:00:00+0000,109.79,111.47,109.49,111.37,64781
2011-04-08T05:00:00+0000,111.24,114.26,111.12,113.86,65747
2011-04-11T05:00:00+0000,114.25,114.5,109.94,111.17,67868
2011-04-12T05:00:00+0000,110.15,111.42,106.81,107.64,90321
2011-04-13T05:00:00+0000,107.44,108.76,106.59,108.24,108996
2011-04-14T05:00:00+0000,108.49,109.59,107.0,109.19,58228
2011-04-15T05:00:00+0000,109.65,111.13,108.26,110.68,46822
2011-04-18T05:00:00+0000,110.46,110.48,107.57,108.15,40338
2011-04-19T05:00:00+0000,108.37,109.48,106.44,108.73,56749
2011-04-20T05:00:00+0000,108.88,112.09,108.38,111.91,65500
2011-04-21T05:00:00+0000,111.89,112.95,111.44,112.75,52043
2011-04-25T05:00:00+0000,112.4,113.92,111.57,112.75,44387
2011-04-26T05:00:00+0000,112.57,113.12,111.6,112.71,62523
2011-04-27T05:00:00+0000,112.34,113.91,111.25,113.28,72191
2011-04-28T05:00:00+0000,113.61,114.49,112.18,113.34,70560
2011-04-29T05:00:00+0000,113.31,114.66,112.74,114.43,48972
2011-05-02T05:00:00+0000,114.28,115.27,111.32,114.04,66686
2011-05-03T05:00:00+0000,113.49,113.68,110.82,111.56,65723
2011-05-04T05:00:00+0000,111.16,111.7,109.0,109.73,80418
2011-05-05T05:00:00+0000,109.32,109.85,98.77,100.34,144704
2011-05-06T05:00:00+0000,100.34,102.93,95.18,97.77,163459
2011-05-09T05:00:00+0000,98.53,103.92,97.96,103.1,196542
2011-05-10T05:00:00+0000,103.28,104.54,100.68,104.47,148235
2011-05-11T05:00:00+0000,104.37,105.16,98.07,98.77,200468
2011-05-12T05:00:00+0000,99.02,101.0,95.78,99.48,217844
2011-05-13T05:00:00+0000,99.29,101.21,97.61,100.12,129392
2011-05-16T05:00:00+0000,99.96,100.12,97.33,97.85,171276
2011-05-17T05:00:00+0000,97.58,98.33,95.55,97.43,242871
2011-05-18T05:00:00+0000,98.18,101.42,97.97,100.56,286251
2011-05-19T05:00:00+0000,100.23,101.24,98.63,98.93,311515
2011-05-20T05:00:00+0000,99.06,100.42,96.35,100.1,394911
2011-05-23T05:00:00+0000,99.68,100.04,96.37,97.7,296828
2011-05-24T05:00:00+0000,97.54,100.08,96.61,99.59,339530
2011-05-25T05:00:00+0000,99.27,101.63,98.2,101.32,354880
2011-05-26T05:00:00+0000,101.24,101.9,99.62,100.23,332135
2011-05-27T05:00:00+0000,100.16,101.24,100.04,100.59,212254
2011-05-31T05:00:00+0000,100.69,103.39,99.6,102.7,319037
2011-06-01T05:00:00+0000,102.68,103.31,99.63,100.29,376476
2011-06-02T05:00:00+0000,99.79,100.93,98.46,100.4,389637
2011-06-03T05:00:00+0000,100.87,100.87,98.12,100.22,351309
2011-06-06T05:00:00+0000,100.42,100.68,98.55,99.01,289670
2011-06-07T05:00:00+0000,98.82,99.75,97.74,99.09,415373
2011-06-08T05:00:00+0000,99.58,101.89,98.02,100.74,484275
2011-06-09T05:00:00+0000,100.83,102.44,100.74,101.93,345542
2011-06-10T05:00:00+0000,101.84,102.15,98.6,99.29,379238
2011-06-13T05:00:00+0000,98.77,99.32,96.13,97.3,381993
2011-06-14T05:00:00+0000,97.09,99.64,96.51,99.37,347721
2011-06-15T05:00:00+0000,99.68,99.95,94.02,94.81,508717
2011-06-16T05:00:00+0000,95.29,95.75,94.29,94.95,336011
2011-06-17T05:00:00+0000,95.1,95.4,91.84,93.01,245013
2011-06-20T05:00:00+0000,92.8,93.49,91.14,93.26,136837
2011-06-21T05:00:00+0000,93.49,94.74,92.5,93.4,35656
